,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20110727,,11,2,4925.0,36720410,EGAS,GAS NATURAL INC,EGAS,221210.0,A,A,R,7953,2,4925.0,36720410.0,,,49.0,492.0,,,,,,,11.2,-0.00885,8151.0,1.0,11.3,91291.2,EGAS,10.0,9.0,2.0,,5.0,10,1.0,1.0,1.0,3.0,1.0,4.0,2.0,8.0,8.0,7.0,1.0,1.0,7.0,7.0,2.0,7.0,6.0,5.0,6.0,3.0,,,6.0,7.0,8.0,5.0,10.0,2.0,2.0,1.0,8.0,1.0,,2.0,10.0,,3.0,8.0,10.0,5.0,4.0,4.0,6.0,6.0,2.0,5,10.0,10,1
10002,20110727,,11,3,6020.0,05978R10,BTFG,BANCTRUST FINANCIAL GROUP INC,BTFG,551111.0,Q,A,R,7954,3,6020.0,,,,60.0,602.0,,,,,,,2.37,0.017167,17952.0,1.0,2.36,42546.24,BTFG,10.0,,,,,10,1.0,1.0,3.0,,,,,4.0,9.0,10.0,,,,,,10.0,2.0,3.0,9.0,,1.0,,,2.0,,,4.0,1.0,1.0,10.0,,3.0,4.0,3.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,1.0,5,10.0,10,1
10025,20110727,,11,3,3081.0,00103110,AEPI,A E P INDUSTRIES INC,AEPI,326113.0,Q,A,R,7975,3,3081.0,103110.0,,,30.0,308.0,,,,,,,27.25,-0.029213,6138.0,1.0,28.02,167260.5,AEPI,10.0,4.0,7.0,5.0,6.0,1,1.0,10.0,10.0,8.0,9.0,10.0,2.0,,2.0,8.0,4.0,5.0,8.0,9.0,5.0,8.0,2.0,2.0,10.0,6.0,,,8.0,10.0,6.0,8.0,7.0,5.0,10.0,7.0,3.0,10.0,,2.0,2.0,2.0,8.0,4.0,6.0,10.0,9.0,,,10.0,6.0,5,9.0,10,1
10026,20110727,,11,3,2052.0,46603210,JJSF,J & J SNACK FOODS CORP,JJSF,311821.0,Q,A,R,7976,3,2052.0,46603210.0,,,20.0,205.0,,,,,,,52.28,-0.015443,18674.0,1.0,53.09,976276.72,JJSF,8.0,5.0,9.0,5.0,9.0,10,10.0,10.0,4.0,2.0,3.0,8.0,6.0,3.0,6.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,9.0,7.0,5.0,2.0,7.0,,5.0,9.0,4.0,8.0,6.0,4.0,3.0,2.0,5.0,4.0,,5.0,4.0,8.0,6.0,8.0,9.0,6.0,7.0,8.0,10.0,4.0,8.0,5,10.0,10,1
10028,20110727,,11,2,5094.0,23323G10,DGSE,D G S E COMPANIES INC,DGSE,448310.0,A,A,R,7978,2,5094.0,294020000000000.0,,,50.0,509.0,,,,,,,8.44,-0.002364,10360.0,1.0,8.46,87438.4,DGSE,10.0,4.0,8.0,3.0,7.0,1,10.0,1.0,2.0,10.0,9.0,10.0,1.0,,10.0,8.0,2.0,9.0,10.0,10.0,9.0,3.0,10.0,10.0,8.0,4.0,,,9.0,4.0,8.0,9.0,10.0,9.0,1.0,2.0,2.0,2.0,,2.0,3.0,,1.0,2.0,9.0,3.0,1.0,,,1.0,1.0,5,10.0,10,1
10032,20110727,,11,3,3670.0,72913210,PLXS,PLEXUS CORP,PLXS,334412.0,Q,A,R,7980,3,3670.0,72913210.0,,,36.0,367.0,,,,,,,28.97,-0.052959,35549.0,1.0,30.24,1029854.53,PLXS,7.0,5.0,4.0,5.0,3.0,10,10.0,1.0,10.0,1.0,1.0,9.0,1.0,,8.0,6.0,6.0,1.0,2.0,3.0,2.0,4.0,8.0,8.0,8.0,,,,9.0,4.0,8.0,7.0,3.0,6.0,3.0,6.0,6.0,10.0,6.0,7.0,7.0,8.0,8.0,4.0,4.0,6.0,7.0,,,2.0,6.0,5,4.0,10,1
10044,20110727,,11,3,2060.0,77467840,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,311330.0,Q,A,R,7992,3,2060.0,,,,20.0,206.0,,,,,,,9.34,0.0,6091.0,1.0,9.32,56889.94,RMCF,10.0,2.0,9.0,2.0,7.0,1,10.0,1.0,4.0,10.0,3.0,9.0,6.0,9.0,7.0,3.0,5.0,10.0,8.0,1.0,8.0,1.0,10.0,9.0,3.0,10.0,3.0,,4.0,9.0,2.0,5.0,10.0,3.0,6.0,6.0,2.0,4.0,,9.0,8.0,10.0,8.0,7.0,10.0,7.0,8.0,9.0,10.0,10.0,2.0,5,10.0,10,1
10051,20110727,,11,1,8093.0,41043F20,HGR,HANGER ORTHOPEDIC GROUP INC,HGR,339113.0,N,A,R,7999,1,4813.0,,,,48.0,481.0,,,,,,,22.6,-0.027539,33497.0,1.0,23.07,757032.2,HGR,8.0,6.0,2.0,6.0,2.0,1,1.0,1.0,2.0,3.0,2.0,5.0,2.0,,3.0,2.0,1.0,3.0,2.0,3.0,5.0,6.0,4.0,3.0,7.0,1.0,,,8.0,7.0,9.0,6.0,5.0,6.0,3.0,1.0,6.0,2.0,,4.0,4.0,4.0,6.0,4.0,9.0,2.0,4.0,,,1.0,5.0,5,7.0,10,1
10100,20110727,,11,3,8300.0,02713510,ALRN,AMERICAN LEARNING CORP NY,ALRN,624310.0,Q,A,R,8042,3,8300.0,2713510.0,,,83.0,830.0,,,,,,,2.15,-0.018265,4920.0,1.0,2.05,10578.0,ALRN,10.0,3.0,8.0,4.0,7.0,1,10.0,1.0,2.0,8.0,10.0,8.0,5.0,,1.0,,10.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,,,,9.0,,,10.0,10.0,9.0,9.0,4.0,2.0,,1.0,1.0,1.0,8.0,1.0,10.0,1.0,9.0,,,6.0,1.0,5,10.0,10,1
10104,20110727,,11,3,7370.0,68389X10,ORCL,ORACLE CORP,ORCL,511210.0,Q,A,R,8045,1,7372.0,,,,73.0,737.0,,,,,,,30.71,-0.044642,5065515.0,1.0,31.81,155561965.65,ORCL,1.0,2.0,7.0,2.0,2.0,10,1.0,10.0,5.0,8.0,1.0,2.0,10.0,1.0,4.0,2.0,6.0,6.0,9.0,10.0,3.0,1.0,9.0,9.0,1.0,8.0,,10.0,8.0,3.0,4.0,5.0,10.0,8.0,7.0,2.0,2.0,5.0,9.0,10.0,8.0,10.0,7.0,8.0,8.0,6.0,7.0,8.0,6.0,7.0,6.0,5,8.0,10,1
